"","metric","anova_p","comparison","diff","lwr","upr","p adj"
"AD_guild-AD_base...1","accuracy_score",0.0210554057544303,"AD_guild-AD_base",0.00549999999999995,0.000740436569742306,0.0102595634302576,0.0187905266915835
"AD_guild_split-AD_base...2","accuracy_score",0.0210554057544303,"AD_guild_split-AD_base",0.00387499999999985,-0.000884563430257793,0.00863456343025749,0.135440874325188
"AD_guild_split-AD_guild...3","accuracy_score",0.0210554057544303,"AD_guild_split-AD_guild",-0.0016250000000001,-0.00638456343025774,0.00313456343025754,0.700704127527079
"AD_guild-AD_base...4","sensitivity",0.0205353790797169,"AD_guild-AD_base",0.0157142857142852,0.00215993826821981,0.0292686331603507,0.0183189382206528
"AD_guild_split-AD_base...5","sensitivity",0.0205353790797169,"AD_guild_split-AD_base",0.0110714285714281,-0.00248291887463736,0.0246257760174935,0.133699417327767
"AD_guild_split-AD_guild...6","sensitivity",0.0205353790797169,"AD_guild_split-AD_guild",-0.00464285714285717,-0.0181972045889226,0.00891149030320825,0.699074611675376
"AD_guild-AD_base...7","specificity",1,"AD_guild-AD_base",6.66133814775094e-16,-0.00064061829188919,0.000640618291890522,1
"AD_guild_split-AD_base...8","specificity",1,"AD_guild_split-AD_base",6.66133814775094e-16,-0.00064061829188919,0.000640618291890522,1
"AD_guild_split-AD_guild...9","specificity",1,"AD_guild_split-AD_guild",0,-0.000640618291889856,0.000640618291889856,1
