"","metric","anova_p","comparison","diff","lwr","upr","p adj"
"AD_guild-AD_base...1","Accuracy_Score",0.00097472043748051,"AD_guild-AD_base",0.00412500000000005,0.00149876883708822,0.00675123116291187,0.000749720009813326
"AD_guild_split-AD_base...2","Accuracy_Score",0.00097472043748051,"AD_guild_split-AD_base",0.00275000000000003,0.000123768837088205,0.00537623116291186,0.0376835292738141
"AD_guild_split-AD_guild...3","Accuracy_Score",0.00097472043748051,"AD_guild_split-AD_guild",-0.00137500000000002,-0.00400123116291184,0.00125123116291181,0.434502643566996
"AD_guild-AD_base...4","Sensitivity",0.000511428231578756,"AD_guild-AD_base",0.0121428571428563,0.00474037148003111,0.0195453428056816,0.000401885790600298
"AD_guild_split-AD_base...5","Sensitivity",0.000511428231578756,"AD_guild_split-AD_base",0.00821428571428484,0.00081180005145961,0.0156167713771101,0.0254199502288953
"AD_guild_split-AD_guild...6","Sensitivity",0.000511428231578756,"AD_guild_split-AD_guild",-0.0039285714285715,-0.0113310570913967,0.00347391423425373,0.424720691005964
"AD_guild-AD_base...7","Specificity",0.60704027825878,"AD_guild-AD_base",-0.00019230769230727,-0.000715370337315107,0.000330754952700567,0.662144089044346
"AD_guild_split-AD_base...8","Specificity",0.60704027825878,"AD_guild_split-AD_base",-0.00019230769230727,-0.000715370337315107,0.000330754952700567,0.662144089044346
"AD_guild_split-AD_guild...9","Specificity",0.60704027825878,"AD_guild_split-AD_guild",0,-0.000523062645007837,0.000523062645007837,1
